developer,titles,sales_m,mean_m,best_m,sales_share_pct,title_share_pct
Nintendo EPD,14,162.15,11.582,33.41,55.493,32.558
Game Freak,2,33.35,16.675,20.35,11.413,4.651
Bandai Namco Studios,3,25.01,8.337,22.85,8.559,6.977
NDcube,2,16.44,8.22,13.82,5.626,4.651
Next Level Games,1,9.13,9.13,9.13,3.125,2.326
Intelligent Systems,2,5.92,2.96,3.05,2.026,4.651
Grezzo,1,4.38,4.38,4.38,1.499,2.326
Omega Force,1,3.5,3.5,3.5,1.198,2.326
Monolith Soft,2,3.4,1.7,1.92,1.164,4.651
Innersloth,1,3.2,3.2,3.2,1.095,2.326
Camelot Software Planning,1,3.06,3.06,3.06,1.047,2.326
HAL Laboratory,1,2.93,2.93,2.93,1.003,2.326
Retro Studios,1,2.65,2.65,2.65,0.907,2.326
Konami,1,2.5,2.5,2.5,0.856,2.326
Mojang,1,2.24,2.24,2.24,0.767,2.326
Square Enix,1,2.0,2.0,2.0,0.684,2.326
Ubisoft Paris,1,2.0,2.0,2.0,0.684,2.326
Good-Feel,1,1.84,1.84,1.84,0.63,2.326
Spike Chunsoft,1,1.26,1.26,1.26,0.431,2.326
PlatinumGames,1,1.08,1.08,1.08,0.37,2.326
Team Ninja,1,1.08,1.08,1.08,0.37,2.326
Velan Studios,1,1.08,1.08,1.08,0.37,2.326
Dodge Roll,1,1.0,1.0,1.0,0.342,2.326
Imagineer,1,1.0,1.0,1.0,0.342,2.326
