publisher,titles,sales_m,mean_m,best_m,sales_share_pct,title_share_pct
Nintendo,31,239.25,7.718,33.41,81.879,72.093
The Pokémon Company,3,34.51,11.503,20.35,11.81,6.977
Koei Tecmo,1,3.5,3.5,3.5,1.198,2.326
Innersloth,1,3.2,3.2,3.2,1.095,2.326
Konami,1,2.5,2.5,2.5,0.856,2.326
Xbox Game Studios,1,2.24,2.24,2.24,0.767,2.326
Square Enix,1,2.0,2.0,2.0,0.684,2.326
Ubisoft,1,2.0,2.0,2.0,0.684,2.326
Bandai Namco Entertainment,1,1.0,1.0,1.0,0.342,2.326
Devolver Digital,1,1.0,1.0,1.0,0.342,2.326
Imagineer,1,1.0,1.0,1.0,0.342,2.326
